id,Question,Answer
1,ログインできません,パスワードをリセットしてください。メールアドレスを入力するとリセットリンクが送信されます。
2,チャットボットの応答精度を上げるには,FAQデータを充実させ、定期的に会話ログを確認して改善点を見つけることが重要です。
3,月額料金の支払い方法を変更したい,管理画面の「請求設定」から支払い方法を変更できます。クレジットカード情報を更新してください。
4,多言語対応はできますか,はい。現在15言語に対応しており、管理画面で言語設定を変更できます。
5,既存のCRMシステムと連携できますか,はい。API連携やWebhook設定により、Salesforce、HubSpot等の主要CRMと連携可能です。
6,チャットボットの応答時間はどのくらいですか,通常1秒以内で応答します。複雑な処理が必要な場合は最大3秒程度かかることがあります。
7,データのバックアップは自動で行われますか,はい。毎日自動でバックアップが作成され、30日間保持されます。
8,ユーザー数を追加したい,管理画面の「プラン設定」からユーザー数を変更できます。追加分の料金は翌月から適用されます。
9,カスタマーサポートに直接連絡したい,サポートチームは平日9:00-18:00（JST）で対応しています。チャットまたはメールでお問い合わせください。
10,APIの利用制限はありますか,"プランにより異なります。ベーシックプランは月10,000リクエスト、プロプランは月100,000リクエストまで利用可能です。"
11,チャットボットの学習データはどこに保存されますか,すべてのデータは暗号化され、日本のデータセンターに安全に保存されます。
12,無料トライアル期間はありますか,はい。14日間の無料トライアルをご利用いただけます。クレジットカード登録は不要です。
13,チームメンバーを追加するには,管理画面の「ユーザー管理」から招待メールを送信できます。招待されたメンバーはメール内のリンクから登録できます。
14,チャットボットの応答をカスタマイズできますか,はい。応答テンプレートやトーン、ブランディング要素を自由にカスタマイズできます。
15,利用統計はどこで確認できますか,ダッシュボードでリアルタイムの利用状況、応答数、満足度などの統計を確認できます。
16,セキュリティ対策はどのようになっていますか,ISO27001認証取得済みで、SSL暗号化、定期的なセキュリティ監査を実施しています。
17,プランを変更したい,管理画面の「プラン設定」からいつでも変更可能です。変更は即座に反映されます。
18,チャットボットが応答しない場合は,まずFAQデータが適切に設定されているか確認してください。問題が続く場合はサポートまでご連絡ください。
19,データのエクスポートはできますか,はい。CSV形式で会話ログ、FAQデータ、統計情報をエクスポートできます。
20,アカウントを削除したい,管理画面の「アカウント設定」から削除手続きを行えます。削除前にデータのバックアップをお勧めします。